age,bmi,children,sex,smoker,region,charges
0.0,0.0,,0.7747703075144541,0.0,-1.0,0.0
0.0,0.0,,-2.824686532485546,0.0,0.0,0.0
-1.0893048153331946,0.0,,0.0,0.0,0.0,0.0
0.0,1.3370681259601838,,0.0,0.0,0.0,0.0
-0.2635976153331946,0.0,,0.0,0.0,-1.0,0.0
0.0,0.0,,-1.4419696524855459,0.0,0.0,1.0
0.0,0.0,,-2.683056602485546,0.0,0.0,0.0
-0.5942360153331946,0.0,,0.0,0.0,0.0,0.0
0.0,0.0,,-0.22027744248554582,0.0,0.0,1.0
0.0,0.6951294059601836,,0.0,0.0,0.0,0.0
1.4951362846668055,0.0,,0.0,0.0,0.0,1.0
0.0,-1.6805041240398164,,0.0,0.0,0.0,0.0
0.0,0.0,,-0.997296132485546,-2.0,0.0,0.0
0.0,-0.5091815940398164,,0.0,0.0,0.0,1.0
0.0,0.7024552859601836,,0.0,0.0,0.0,0.0
0.0,-0.4701692340398165,,0.39622563751445394,0.0,0.0,0.0
0.0,0.7437637259601836,,0.0,0.0,0.0,0.0
-1.4202390153331945,0.0,,0.0,0.0,0.0,1.0
1.3445465846668054,0.0,,0.0,0.0,-1.0,0.0
0.0,3.7122023359601832,,0.0,0.0,0.0,0.0
0.0,0.0,,-1.986675882485546,0.0,0.0,0.0
0.0,0.0,,0.3908345075144539,0.0,-1.0,0.0
0.0,0.0,,0.8204207075144541,0.0,0.0,0.0
-0.7930098153331946,0.0,,0.0,0.0,0.0,0.0
0.0,-0.14226365403981642,,0.0,0.0,0.0,0.0
0.9106354846668054,0.0,,0.0,0.0,0.0,0.0
0.0,0.7887144159601835,,0.0,0.0,0.0,0.0
1.5708433846668053,0.0,,0.0,0.0,0.0,0.0
1.6195740846668054,0.5467921259601836,,0.0,0.0,0.0,0.0
0.0,1.7351372259601836,,-0.38550276248554605,0.0,0.0,0.0
0.8886964927448353,0.0,,0.0,0.0,0.0,0.0
0.0,0.0,,0.0,2.0,0.0,0.0
0.0,0.0,,-0.824227281137225,2.0,0.0,0.0
1.4519464927448353,-1.7208221515372895,,0.0,0.0,0.0,0.0
0.0,1.6103238484627105,,0.0,3.0,0.0,0.0
-0.08078190725516454,0.0,,0.0,0.0,0.0,0.0
-0.22194460725516474,0.0,,0.0,0.0,0.0,0.0
0.0,-0.6149034315372894,,0.0,0.0,0.0,0.0
0.0,0.0,,0.2628247088627751,3.0,0.0,0.0
